date,RET
2008-10-20,0.010678
2008-10-21,-0.070601
2008-10-22,0.058803999999999995
2008-10-23,0.014039
2008-10-24,-0.018833000000000003
2008-10-27,-0.044511
2008-10-28,0.08491699999999999
2008-10-29,0.046442000000000004
2008-10-30,0.062076
2008-10-31,-0.03107
2008-11-03,-0.005856
2008-11-04,0.037677999999999996
2008-11-05,-0.069285
2008-11-06,-0.040658
2008-11-07,-0.008678
2008-11-10,-0.024023
2008-11-11,-0.011576999999999999
2008-11-12,-0.049066000000000005
2008-11-13,0.070129
2008-11-14,-0.064289
2008-11-17,-0.023271
2008-11-18,0.020082
2008-11-19,-0.040263
2008-11-20,-0.067215
2008-11-21,0.025966000000000003
2008-11-24,0.125575
2008-11-25,-0.023131
2008-11-26,0.046255000000000004
2008-11-28,-0.024526
2008-12-01,-0.040358
2008-12-02,0.039807
2008-12-03,0.037093
2008-12-04,-0.04682
2008-12-05,0.028333999999999998
2008-12-08,0.060851
2008-12-09,0.0034100000000000003
2008-12-10,-0.018489
2008-12-11,-0.032685000000000006
2008-12-12,0.034421
2008-12-15,-0.03582
2008-12-16,0.007176999999999999
2008-12-17,-0.065703
2008-12-18,0.0030280000000000003
2008-12-19,0.006374
2008-12-22,-0.047333
2008-12-23,0.007464
2008-12-24,-0.015512999999999999
2008-12-26,0.009055
2008-12-29,0.009323
2008-12-30,-0.0036950000000000004
2008-12-31,-0.010894
2009-01-02,0.063269
2009-01-05,0.042204000000000005
2009-01-06,-0.016493999999999998
2009-01-07,-0.021608000000000002
2009-01-08,0.018569
2009-01-09,-0.022869
2009-01-12,-0.021197
2009-01-13,-0.010715
2009-01-14,-0.027135000000000003
2009-01-15,-0.022853000000000002
2009-01-16,-0.012593
2009-01-20,-0.050164
2009-01-21,0.059207
2009-01-22,0.066763
2009-01-23,0.0
2009-01-26,0.014486
2009-01-27,0.012159999999999999
2009-01-28,0.038245
2009-01-29,-0.012739
2009-01-30,-0.030860000000000002
2009-02-02,0.015311000000000002
2009-02-03,0.016064
2009-02-04,0.00613
2009-02-05,0.031106
2009-02-06,0.033796
2009-02-09,0.027977999999999996
2009-02-10,-0.045654
2009-02-11,-0.010324
2009-02-12,0.025305
2009-02-13,-0.001108
2009-02-17,-0.046692000000000004
2009-02-18,-0.001693
2009-02-19,-0.039525
2009-02-20,0.006178
2009-02-23,-0.046601
2009-02-24,0.037953
2009-02-25,0.010083
2009-02-26,-0.02161
2009-02-27,0.0013449999999999998
2009-03-02,-0.015340000000000001
2009-03-03,0.00489
2009-03-04,0.031685000000000005
2009-03-05,-0.025557
